,Number of Leaks,Tank Junctions Namelist,Number of Unmeasured Demand Junctions,Unmeasured Junctions Namelist,Number of Demand Fraud Junctions,Fraud Junctions Namelist,Demand Reading Error,Leak link 0 Name,Leak link 0 Max. Demand(LPS),Leak 0 duration(h),Leak link 1 Name,Leak link 1 Max. Demand(LPS),Leak 1 duration(h),Cronological relation between Leaks,Max. Total Unknown/Fraud demand(LPS),Length uncertainty (%),Diameter uncertainty (%),Roughness uncertainty (%),Max. Equiv. Lengh uncertainty (%),Min. Equiv. Lengh uncertainty (%),Detector 1 accuracy,Detector 1 precision,Detector 1 recall,Detector 1 f1_score,Leaky pipe guess list,True localization found?,True localization is within the list?,True localization is linked to pipe within the list?
1,0,"153, 159, 161, 185, 197, 219, 225, 231, 237, 239, 251, 255",5,"105, 215, 127, 115, 237",3,"157, 185, 203",0.02,,0,0,,0,0,,35.7969973632246,0.8,0.2,0.8,103.31,96.8,,,,,nan,,,
2,2,"113, 121, 125, 127, 145, 149, 153, 159, 197, 219, 225, 255",2,"119, 231",5,"147, 101, 243, 107, 105",0.03,231,115.77991,1936.5,161,7.23314,896,Leak1 happens first,21.3109647705281,1.2,0.6,1.6,107.37,93.19,,,,,nan,,,
3,1,"113, 121, 127, 171, 197, 219, 225, 237, 239, 251, 255",1,215,3,"185, 143, 151",0.03,173,171.53678,1031.5,,0,0,,13.2155827052971,0.8,0.8,0.8,106.39,94.03,0.999828767123288,1,0.998546511627907,0.999272727272727,['173' '175' '123' '171' '177' '120' '125' '122' '116' '179'],1,1,1
4,1,"149, 153, 159, 161, 171, 185, 217, 225, 231, 239, 251, 255",3,"239, 211, 103",5,"177, 215, 255, 166, 111",0.04,204,22.79874,1623.5,,0,0,,19.7100312244341,0.8,0.8,0.4,105.6,94.72,0.999600456621005,0.998768851954448,0.999076354679803,0.998922579652147,['233' '231' '229' '217' '323' '219' '112' '199' '235' '241'],0,0,0
5,1,"121, 127, 149, 153, 161, 171, 197, 217, 219, 239, 251, 255",1,166,5,"157, 121, 197, 251, 119",0.05,204,21.41885,5407.5,,0,0,,0.30588182460831,1.6,0.6,1.2,106.98,93.49,0.997260273972603,0.99585559034813,0.999722633136095,0.9977853649534,['311' '197' '187' '325' '291' '213' '313' '195' '211' '193'],0,0,0
6,1,"113, 121, 127, 131, 145, 149, 159, 171, 201, 217, 225",3,"113, 237, 197",5,"251, 207, 189, 253, 167",0,247,0.36118,559.5,,0,0,,7.11510266977487,0.8,0.8,0.8,106.39,94.03,,,,,nan,,,
7,1,"121, 125, 127, 131, 149, 159, 185, 197, 217, 225, 239, 255",2,"219, 147",2,"119, 253",0,271,0.45282,3149,,0,0,,6.00244759924068,2,0.2,1.6,106.12,94.24,,,,,nan,,,
8,1,"113, 121, 127, 131, 149, 153, 171, 217, 219, 225, 237, 239",4,"119, 107, 105, 131",2,"205, 247",0.01,153,1.81936,2123.5,,0,0,,45.3122095506344,1.2,0.6,1.6,107.37,93.19,,,,,nan,,,
9,2,"121, 127, 131, 153, 159, 161, 171, 185, 201, 219, 231, 255",5,"189, 207, 255, 191, 211",5,"115, 151, 121, 203, 253",0.05,241,2.06848,3081,271,0.63389,3062.5,Leak0 overlaps Leak1,31.9990809948383,1.6,0.8,2,109.68,91.25,,,,,nan,,,
10,1,"113, 121, 125, 127, 145, 149, 153, 159, 201, 225, 255",2,"251, 115",5,"15, 219, 153, 171, 177",0,195,18.06869,1272.5,,0,0,,9.08307795800558,2,0.8,0.4,106.86,93.58,0.999486301369863,0.997646135739506,0.998821681068343,0.998233562315996,['203' '205' '202' '209' '309' '313' '186' '239' '207' '221'],0,0,0
11,2,"113, 121, 125, 127, 149, 153, 161, 185, 197, 237, 239, 251",2,"127, 35",1,197,0.04,297,0.48707,2306.5,271,0.10402,1520,Leak1 happens first,3323,0.8,0.2,0.4,102.55,97.52,,,,,nan,,,
12,1,"115, 125, 127, 131, 145, 149, 167, 171, 197, 217, 239",5,"115, 113, 159, 213, 145",1,161,-0.03,281,0.18496,387,,0,0,,13.3491259911355,1.6,0.4,1.2,105.94,94.4,,,,,nan,,,
13,2,"121, 145, 149, 171, 185, 197, 201, 213, 219, 231, 255",5,"123, 163, 189, 153, 121",4,"171, 207, 211, 35",-0.01,235,9.50175,2198,195,0.23161,1626,Leak1 overlaps Leak0,22.2854482234034,1.6,0.8,0.8,107.23,93.27,,,,,nan,,,
14,1,"121, 125, 127, 131, 149, 153, 159, 161, 171, 201, 231, 237, 239",4,"109, 203, 117, 193",1,247,0.05,307,57.10733,407,,0,0,,49.6186894234737,2,1,1.6,110.36,90.66,0.999828767123288,1,0.996319018404908,0.998156115550092,['111' '245' '115' '307' '109' '201' '257' '247' '251' '249'],0,1,1
15,1,"113, 121, 127, 131, 145, 149, 161, 171, 197, 217, 219, 231",3,"166, 217, 121",1,131,0.02,319,61.29505,1014,,0,0,,9044,0.8,0.2,1.2,104.09,96.1,0.999828767123288,1,0.998521439132578,0.999260172626387,['235' '204' '323' '311' '239' '237' '317' '213' '319' '315'],0,1,1
16,1,"121, 125, 131, 145, 159, 161, 171, 197, 219, 225, 239, 251",5,"167, 201, 127, 151, 197",1,123,0.02,277,0.7101,2567,,0,0,,26.3919867463051,1.6,0.2,0.4,103.36,96.73,,,,,nan,,,
17,1,"113, 121, 127, 131, 145, 171, 197, 201, 217, 225, 231, 239",5,"117, 159, 247, 225, 167",4,"113, 243, 119, 105",0.05,193,123.87559,3207,,0,0,,29.9121897424591,0.8,0.4,1.2,105.11,95.17,0.999657534246575,0.999532346063913,0.999532346063913,0.999532346063913,['189' '229' '187' '325' '199' '235' '323' '202' '231' '233'],0,0,0
18,1,"127, 131, 145, 153, 171, 185, 197, 201, 217, 219, 239",3,"215, 189, 177",2,"211, 171",0.02,245,52.07195,1789.5,,0,0,,29.482732208076,0.8,0.8,1.2,107.19,93.34,0.999828767123288,1,0.999162011173184,0.999580829956686,['271' '247' '257' '251' '249' '263' '261' '269' '245' '241'],0,1,1
19,2,"113, 121, 125, 145, 153, 159, 171, 185, 197, 217, 239, 251",4,"237, 139, 159, 203",5,"117, 253, 247, 125, 166",0.04,307,6.43452,118,149,6.7555,3991,Leak0 inside Leak1,7.01671369690724,1.2,0.8,0.4,106.02,94.34,,,,,nan,,,
20,2,"113, 121, 125, 145, 149, 153, 161, 185, 217, 231, 237, 239, 255",4,"35, 219, 207, 247",4,"239, 166, 243, 121",0.01,291,18.42083,256.5,237,45.85919,525,Leak1 happens first,20.9600294639209,2,0.2,0.8,104.54,95.63,,,,,nan,,,
21,2,"113, 127, 131, 145, 153, 159, 171, 185, 197, 201, 239",3,"109, 105, 107",4,"229, 127, 211, 237",0,271,5.35513,167.5,233,5.73669,8085.5,Leak0 inside Leak1,45.9445191824459,1.2,1,0.8,107.87,92.75,,,,,nan,,,
22,2,"113, 115, 121, 125, 131, 145, 153, 159, 171, 185, 197, 219",3,"166, 255, 123",4,"163, 147, 167, 237",-0.04,233,3.56977,1753.5,117,50.79614,1150.5,Leak1 happens first,4.64649369368592,0.8,0.2,1.6,104.87,95.4,,,,,nan,,,
