,Number of Leaks,Tank Junctions Namelist,Number of Unmeasured Demand Junctions,Unmeasured Junctions Namelist,Number of Demand Fraud Junctions,Fraud Junctions Namelist,Demand Reading Error,Leak link 0 Name,Leak link 0 Max. Demand(LPS),Leak 0 duration(h),Leak link 1 Name,Leak link 1 Max. Demand(LPS),Leak 1 duration(h),Cronological relation between Leaks,Max. Total Unknown/Fraud demand(LPS),Length uncertainty (%),Diameter uncertainty (%),Roughness uncertainty (%),Max. Equiv. Lengh uncertainty (%),Min. Equiv. Lengh uncertainty (%),Detector 1 accuracy,Detector 1 precision,Detector 1 recall,Detector 1 f1_score,Leaky pipe guess list,True localization found?,True localization is within the list?,True localization is linked to pipe within the list?
1,0.0,"153, 159, 161, 185, 197, 219, 225, 231, 237, 239, 251, 255",5.0,"105, 215, 127, 115, 237",3.0,"157, 185, 203",0.02,,0.0,0.0,,0.0,0.0,,35.796997363224605,0.8,0.2,0.8,103.31,96.8,,,,,nan,,,
2,2.0,"113, 121, 125, 127, 145, 149, 153, 159, 197, 219, 225, 255",2.0,"119, 231",5.0,"147, 101, 243, 107, 105",0.03,231.0,115.77991,1936.5,161.0,7.23314,896.0,Leak1 happens first,21.31096477052813,1.2,0.6,1.6,107.37,93.19,,,,,nan,,,
3,1.0,"113, 121, 127, 171, 197, 219, 225, 237, 239, 251, 255",1.0,215,3.0,"185, 143, 151",0.03,173.0,171.53678,1031.5,,0.0,0.0,,13.215582705297107,0.8,0.8,0.8,106.39,94.03,0.9998287671232877,1.0,0.998546511627907,0.9992727272727273,['173' '123' '175' '122' '171' '125' '120' '163' '129' '177'],1.0,1.0,1.0
4,1.0,"149, 153, 159, 161, 171, 185, 217, 225, 231, 239, 251, 255",3.0,"239, 211, 103",5.0,"177, 215, 255, 166, 111",0.04,204.0,22.79874,1623.5,,0.0,0.0,,19.710031224434072,0.8,0.8,0.4,105.6,94.72,0.9996004566210046,0.9987688519544475,0.9990763546798029,0.9989225796521471,['116' '223' '225' '113' '114' '217' '219' '204' '112' '240'],0.0,1.0,1.0
5,1.0,"121, 127, 149, 153, 161, 171, 197, 217, 219, 239, 251, 255",1.0,166,5.0,"157, 121, 197, 251, 119",0.05,204.0,21.41885,5407.5,,0.0,0.0,,0.3058818246083103,1.6,0.6,1.2,106.98,93.49,0.9972602739726028,0.9958555903481304,0.9997226331360947,0.9977853649534004,['186' '229' '209' '189' '191' '187' '203' '199' '315' '193'],0.0,0.0,0.0
6,1.0,"113, 121, 127, 131, 145, 149, 159, 171, 201, 217, 225",3.0,"113, 237, 197",5.0,"251, 207, 189, 253, 167",0.0,247.0,0.36118,559.5,,0.0,0.0,,7.115102669774872,0.8,0.8,0.8,106.39,94.03,,,,,nan,,,
7,1.0,"121, 125, 127, 131, 149, 159, 185, 197, 217, 225, 239, 255",2.0,"219, 147",2.0,"119, 253",0.0,271.0,0.45282,3149.0,,0.0,0.0,,6.002447599240679,2.0,0.2,1.6,106.12,94.24,,,,,nan,,,
8,1.0,"113, 121, 127, 131, 149, 153, 171, 217, 219, 225, 237, 239",4.0,"119, 107, 105, 131",2.0,"205, 247",0.01,153.0,1.81936,2123.5,,0.0,0.0,,45.31220955063439,1.2,0.6,1.6,107.37,93.19,,,,,nan,,,
9,2.0,"121, 127, 131, 153, 159, 161, 171, 185, 201, 219, 231, 255",5.0,"189, 207, 255, 191, 211",5.0,"115, 151, 121, 203, 253",0.05,241.0,2.06848,3081.0,271.0,0.63389,3062.5,Leak0 overlaps Leak1,31.99908099483828,1.6,0.8,2.0,109.68,91.25,,,,,nan,,,
10,1.0,"113, 121, 125, 127, 145, 149, 153, 159, 201, 225, 255",2.0,"251, 115",5.0,"15, 219, 153, 171, 177",0.0,195.0,18.06869,1272.5,,0.0,0.0,,9.083077958005582,2.0,0.8,0.4,106.86,93.58,0.999486301369863,0.9976461357395057,0.9988216810683425,0.998233562315996,['202' '231' '233' '205' '229' '203' '323' '235' '209' '313'],0.0,0.0,0.0
11,2.0,"113, 121, 125, 127, 149, 153, 161, 185, 197, 237, 239, 251",2.0,"127, 35",1.0,197,0.04,297.0,0.48707,2306.5,271.0,0.10402,1520.0,Leak1 happens first,3.323,0.8,0.2,0.4,102.55,97.52,,,,,nan,,,
12,1.0,"115, 125, 127, 131, 145, 149, 167, 171, 197, 217, 239",5.0,"115, 113, 159, 213, 145",1.0,161,-0.03,281.0,0.18496,387.0,,0.0,0.0,,13.34912599113547,1.6,0.4,1.2,105.94,94.4,,,,,nan,,,
13,2.0,"121, 145, 149, 171, 185, 197, 201, 213, 219, 231, 255",5.0,"123, 163, 189, 153, 121",4.0,"171, 207, 211, 35",-0.01,235.0,9.50175,2198.0,195.0,0.23161,1626.0,Leak1 overlaps Leak0,22.28544822340335,1.6,0.8,0.8,107.23,93.27,,,,,nan,,,
14,1.0,"121, 125, 127, 131, 149, 153, 159, 161, 171, 201, 231, 237, 239",4.0,"109, 203, 117, 193",1.0,247,0.05,307.0,57.10733,407.0,,0.0,0.0,,49.61868942347373,2.0,1.0,1.6,110.36,90.66,0.9998287671232877,1.0,0.996319018404908,0.9981561155500922,['107' '117' '111' '105' '115' '307' '301' '109' '305' '303'],0.0,1.0,1.0
